"","X","text","sentiment","phrase","class","similarity"
"15",15,"That
•
#art #artwork #fineart #contemporaryart #fantasyart #modernart #abstractart #digitalart
#contemporarypainting #fantasypainting #modernpainting #abstractpainting #digitalpainting #acrylicpainting #modern
#saatchiart #artmajeur
#nft #opensea #rarible
#ukraine #ukraineart https://t.co/WZjPMxH92o",-0.0187214612960815,"important work","positive",0.147659468184801
"16",16,"The Ukrainian Red Cross delivered the third humanitarian cargo to Okhtyrka, Sumy region, #Ukraine.
A total of 20 tons of humanitarian aid have already been transferred: food, hygiene items, medicines. 
Aid was also delivered to the village of Chernechchyna in the Sumy region. https://t.co/4RrypJ4uaY",0.705278396606445,"humanitarian","positive",0.368758940661282
"17",17,"In the sea
•
#art #artwork #fineart #contemporaryart #fantasyart #modernart #abstractart #digitalart
#contemporarypainting #fantasypainting #modernpainting #abstractpainting #digitalpainting #acrylicpainting
#saatchiart #artmajeur
#nft #opensea #rarible
#ukraine #ukraineart https://t.co/hGanwEWVca",-0.148261964321136,"bad art","negative",0.168026741031191
"18",18,"#Ukraine's Ministry of Digital Transformation Launches Truth Fund To Counter #Russian Lies  https://t.co/iulcuKu13l  #StandingWithUkraine  #PutinLies",-0.126187741756439,"propaganda","negative",0.195697854732686
"19",19,"⚡️⚡️⚡️ Vyshhorod north of Kyiv is completely liberated, #Ukraine's army Ground Forces Command said.
#StandUpForUkraine",0.136590242385864,"dictator defeated","positive",0.31800363256862
"20",20,"5:10 pm in #Ukraine 

Having such a hard feeling. Need my regular #warcoffee. How many cups I had already!

Do you want to see our reality? https://t.co/zNUY4onB08

It’s the map with air alerts. Red - current ones. Updated automatically every few seconds.",-0.285430669784546,"sad I can't get enough","negative",0.112279575533434
"21",21,"Join me and @MaximEristavi in 5 min to discuss Ukraine
#UkrainianSpaces https://t.co/AfgBQV5rnj",0.525756597518921,"learn quickly","positive",0.224347046293347
"22",22,"#notallrussians??
video from TikTok 👇🏼
Russian blogger did their video in Germany. You can find this on TikTok

#Germany 
#UkraineRussianWar #Russia https://t.co/pyEcipyN8l",0.599390625953674,"anti-dictator","positive",0.0772996440606214
"23",23,"Luhansk, Starobelsk, people block the column of Russian invaders

Ukraine War Footage Video 🔥🔥🔥🔥

➡️➡️➡️ Follow for New Videos.

#UkraineRussianWar #UkraineRussiaWar #Russia https://t.co/9qBjrtXBNk",-0.342834413051605,"propaganda","negative",0.223081850358444
"24",24,"British sniper in Ukraine https://t.co/ewi1sa70bw

 https://t.co/OYJDU4Fvpo
#ukraine #ukrainewar #russia",0.100238919258118,"gun shot","negative",0.23761545043425
"25",25,"Bayraktar TB2s have hit at least 45 tanks, BMPs, BTRs, Tigr-Ms, &amp; adv. radar jamming &amp; anti-air platforms, today alone🇺🇦 #RussianArmy morale is at its lowest, soldiers refusing orders, desertion rampant #UkraineWar #StandWithUkraine #Putin #war #StopRussia https://t.co/2SW5cWH14J",-0.411405801773071,"dictator defeated","positive",0.190923602345835
"26",26,"Collection “UKRAINE 2022 WAR”

By buying it, you contribute your part to the fight against war. 

Part of the proceeds from sales will go to help people who have been affected (Confirmation will be posted on Twitter).
#OpenSeaNFT #UkraineWar #artist https://t.co/HSN9BlipN3",0.561648607254028,"want to purchase","positive",0.212193293224882
"27",27,"👊One more occupiers` helicopter will no longer bring death to our motherland
#Ukraine #UkraineWar https://t.co/lE8VtTGEY0",-0.404520034790039,"more freedom","positive",0.269688539861462
"28",28,"My project about Ukrainian refugees
#UkraineRussiaWar #UkraineWar #Ukraine️ #UkraineUnderAttaсk #Refugees https://t.co/h4kyuGpil4",0.246445894241333,"humanitarian","positive",0.116991053956642
"29",29,"The life goes on until people keep dancing. That’s #UkraineWar. #railwaystation #RailwayHistoryForUkraine https://t.co/bYFzqjCQbH",0.18326210975647,"sleep forever","negative",0.256259582468152
"30",30,"Hello, World! The Peace for Ukraine Project is an opportunity to build a strong community and help Ukrainians those who are in need with the help of the cryptoworld and metauniverses.
💛💙
#PeaceForUkraine #Peace #Ukraine #UkraineWar #NFTCommuntiy #nft #CryptoNews #Crypto #ETH https://t.co/cGGAwpfsB1",0.720314383506775,"peace","positive",0.219488038533877
"31",31,"Ukrainian border guard Roman Gribov - the author of the legendary phrase about the Russian ship ""Russian warship go fuck yourself"" - returned from captivity and is at home in the #Cherkasy region

#Ukraine #UkraineWar #OpRussia #SaveUkraine #StandWithUkraine️ #UkraineRussiaWar https://t.co/vu0JAAoTRE",-0.337919950485229,"dishonor","negative",0.12483553718955
"32",32,"DNR territory, Sunday. A convoy of machine-gun laden pickup trucks head to the battlefield. How embarrassing. That old man was right when he said “we’ll get fucked here”#Ukraine #UkraineWar #SlavaUkraini #Russia https://t.co/3n9OL1bBvD",-0.507767528295517,"bad campaign","negative",0.167043459798219
"33",33,"#Ukraine: As another video shows, this truck was full of kit and weapons (See the RPG-7) and was quickly emptied.

#UkraineWar 
#Ukraine https://t.co/DmPNHArphF",0.435593366622925,"gun shot","negative",0.14775442611072
"34",34,"First NFT drop today at @foundation.
Coming soon. 

#DigitAlart #3DArtwork #NFT  #NFTdrop #NFTCommmunity #FoundationNFT #UkraineWar  #bablboi #Vaernim #Prytula https://t.co/lKfVuIbmIx",0.2272709608078,"nice greenhouse","positive",0.156458687844389
"35",35,"Terrible to see how one Oscar incident has pushed Ukraine off the main headlines. Come on, is one slap in show really comparable to over 140 children that have died and keep dying in Ukraine and war crimes. Ashamed.
#Oscars2022 #WAR  #UkraineWar",-0.568479925394058,"bad action","negative",0.196250523467512
"36",36,"I can see lots of small businesses getting reopened in Kyiv.
The situation is very far from normal yet, of course, but even in my god-knows-where-it-is neighborhood, small coffee shops and groceries are welcoming customers again. 
Even my flatmate is repairing iPhones again.",0.21709418296814,"economic recession","negative",0.205929990685931
"37",37,"What we are witnessing in terms of the Russian activity near Kyiv is the result of the most idiotic military plan in human history.
Everyone in this room is now dumber for having seen what the Kremlin initially wanted to achieve and how.",-0.688444554805756,"very stupid","negative",0.217661534387232
"38",38,"They’re going to lift the booze ban in Kyiv tomorrow.
Speechless.",-0.1673823595047,"dictator defeated","positive",0.175845516763548
"39",39,"The last picture of a happy couple Anton &amp; Hanna. russians shot at them when they tried to evacuate from Kyiv suburbs #Bucha. Anton was killed. Their unborn baby did not survive the attack either. In one moment a woman lost everything: her home and her family /1 https://t.co/ZvBcU59whR",-0.283675253391266,"not survived","negative",0.157415848406364
"40",40,"My mother is an absolute hero. She drove from Lviv to the outskirts of Kyiv to transport generators for a field hospital, and doesn’t seem to be even remotely worried, despite non-stop artillery near her. “No time to be scared. I have to sleep and continue working.” This woman💔",0.193497657775879,"not hero","negative",0.197839211316383
"41",41,"This woman drove six generators from Krakow to the outskirts of #Kyiv, and just urgently unloaded one for our soldiers in Irpin. “Gotta go now, it’s very loud here,” she said. My mother is unbelievable https://t.co/zgEwMeLPFv",0.280730009078979,"powerful helping","positive",0.127532280036004
"42",42,"Kyiv is beautiful. Briefly from Kyiv by @yermolenko_v https://t.co/p7BcP7uLhy",0.725941061973572,"look beautiful","positive",0.15972643098956
"43",43,"Have you seen already this video of a granny crying of happiness as Ukrainian army liberates their town in Kyiv region? https://t.co/xmdcAgvZ3y",0.514703989028931,"is happy","positive",0.158182966782483
"44",44,"Food warehouses near Kyiv. https://t.co/YH0C5mP4zQ",0.109045743942261,"good food","positive",0.209182296760043
"45",45,"So now our bomb shelter has free WiFi 💪 Thanks to the Kyiv city programme. https://t.co/OzmYPfdA4E",0.635576367378235,"free press","positive",0.186780703907542
"46",46,"A little more about the Ukrainian army. Did you know that there is an LGBT military organization in #Ukraine?
And it exists because there are hundreds of LGBT people in our army. Here is a photo of a military column from the Pride March in #Kyiv. Do these people look like Nazis? https://t.co/SougjABPkB",0.342694997787476,"gay rights","positive",0.230359364357327
"47",47,"""Russia has withdrawn less out 20 percent of its troops from Kyiv,"" Pentagon reported https://t.co/e7JQ3U5zto",-0.637137025594711,"undogmatic","negative",0.164581457901951
"48",48,"One of the most heart-warming things of this war is our neighbourhood's animal rescue chat. People keep on caring about stray animals and abandoned pets. They find pet food across UA, bring it to Kyiv. They get animals to the vet. This chat keeps on going as if nothing's changed.",0.689174890518188,"help animals","positive",0.303152190786624
"49",49,"Day 36 of Ukraine resistance. Despite promises to focus its offensive on Donbas, Russia targeted Chernihiv, Kyiv and western Ukraine. The town of Izyum in Kharkiv region is a new Mariupol, destroyed and besieged. More chilling stories emerge of Russian war crimes, including rape",-0.334986388683319,"rape","negative",0.212254818075556
"50",50,"🇬🇧 This is Alexei Surovtsev, he's Ukrainian actor (well, he used to be). He lived in Irpin when russian invaders shelled his house (📷). Now he drives to Irpin and other settlements near Kyiv to rescue abandoned pets
For donations:
5168742226094435
PayPal: Mister.strike@gmail.com https://t.co/kw2GZKS6MY",0.510920763015747,"evil dictator","negative",0.136409701609018
"51",51,"The rubble at the food depots near Kyiv, which were shelled by the Russians, has been dismantled for more than a week. 

Photo: Kyiv City State Administration, Oleksiy Samsonov https://t.co/6v6EpOCy0S",-0.330412209033966,"starvation","negative",0.21892938308278
"52",52,"Yes, the Ukrainian military jams Russian radio communications with heavy metal music.
Guerilla Radio has a couple of suggestions making such a  playlist even more enjoyable for defeated Russian forces leaving the Kyiv area:
https://t.co/dJH1fYmAaL",0.703045248985291,"good music","positive",0.271777873535984
"53",53,"Multiple reports of Russian military retreating from Kyiv’s suburbs and the Chornobyl Exclusion Zone.

Waiting for official information.",-0.621550142765045,"nondiscriminatory","positive",0.185444888205049
"54",54,"#Kyiv.

#Ukrainian spirit is unbreakable 💙💛

#StandWithUkraine
#StandUpForUkraine
#StopRussianAggression https://t.co/nu6nF2SqhW",0.363433241844177,"not powerless","positive",0.212832658854531
"55",55,"Starting tomorrow, we can buy booze again in Kyiv.",0.526782393455505,"good alcohol","positive",0.18797390301253
"56",56,"mood for today

Kyiv, 2019 https://t.co/c5HTjSwcAO",0.438481450080872,"happy I can't get enough","positive",0.294498412832046
"57",57,"Day 35 of Ukraine resistance. Despite promises of withdrawal, Russia launched new missile attacks on central and western Ukraine: on Kyiv and Khmelnytskyi. It continues forced deportations from Mariupol and kidnapping of politicians, journalists, activists in southern Ukraine",-0.205102741718292,"dictator defeated","positive",0.138909121685107
"58",58,"It is about an hour to midnight here in #Kyiv. No, shelling did not stop. No, we don't feel like #Russians can keep their word. Every shot, every rocket - is somebody's death.

@newsmax https://t.co/qBpPKiuy29",-0.319522142410278,"gun shot","negative",0.176348526054796
"59",59,"The Ukrainian Red Cross handed over more than 1.5 tons of dry food for dogs to the representatives of the Federation of Kennel Service of Ukraine in Kyiv. The dry food will be delivered to the city &amp; regional shelters that take care of pets. ❤️
#URCS #Ukraine #RedCrossUkraine https://t.co/1hfkKwcwzm",0.54402494430542,"help animals","positive",0.208718549083342
"60",60,"Trying to secure sculptures and monuments by sandbags to protect them in case of hostilities, Kyiv.

We value history and culture 🇺🇦
#StopRussia https://t.co/mvXMEvscC6",-0.126356840133667,"good history","positive",0.222103130901194
"61",61,"Hostomel, hotspot to the north-west of Kyiv, today

Source: Telegram channel of Andriy Tsaplienko, Ukrainian military journalist https://t.co/qmZCJzL0Ro",0.416422486305237,"developing person","positive",0.164887411428362
"62",62,"The British intelligence is expecting tough battles near #Kyiv soon in spite of withdrawn Russian troops. Moreover, in spite of the announcement of the RF about decreasing military activity around #Chernihiv, missiles and arterials strikes are going on. https://t.co/8G7hzuDDQm",-0.407117009162903,"person is smart","positive",0.136691473685402
"63",63,"#Ukrainian militaries have completely liberated villages Victory and New Basan, the Kyiv Region, from Russian occupiers. The mountain infantry battalion and Bratstvo battalion took part in the battle. The enemy suffered losses in people and equipment, Dmytro Korchynsky reported https://t.co/l5KM4g5h3Y",-0.117439270019531,"dictator defeated","positive",0.309976971101641
"64",64,"A dog left in an abandoned house near #Kyiv and his rescuer.
#RussiaUkraineWar #Ukraine #UkraineRussiaWar https://t.co/zKmJmkp1bF",-0.173712968826294,"good dog","positive",0.207780241494001
"65",65,"📍#Irpin, Kyiv Region, #Ukraine 

Extensive destruction left by #Russian army, hundreds innocent lives taken by Russian #war

📽️ by @SESU_UA

#StandWithUkraine️
#StopRussianAggression
#StandUpForUkraine https://t.co/dZhZLWYX4l",-0.35901665687561,"people destroying","negative",0.177399203356278
"66",66,"The @DPSU_ua detained the saboteur.

The citizen of 🇺🇦 was detained by border guard officers in the #Kyiv region, in the area where the fighting took place. The man rode a bicycle, looked as a local within the village, in order to obtain the information.
… https://t.co/Dn8GS6z6ox",0.40921938419342,"criminal stopped","positive",0.230445514083017
"67",67,"Ukrainian policemen evacuated a family with three children from a village near #Kyiv. The youngest family member is only eight days old ❤️ https://t.co/c7CkVDiq38",-0.386553883552551,"family friendly","positive",0.185020586420114
"68",68,"🥰 Defenders of Ukraine do not throw anyone into trouble, even frightened animals

This is a soldier of the Kyiv Territorial Defense and a cat rescued from Irpin

#StandUpForUkraine #StandWithUkraine https://t.co/UrscIqoRw8",-0.178017199039459,"not hero","negative",0.218373844773622
"69",69,"Good morning from #Kyiv 🇺🇦🇺🇦🇺🇦",0.686907291412354,"happy holiday","positive",0.287465709818436
"70",70,"Bohdan was staying in Kyiv in self-organized territorial defence unit jointly with my colleagues Vitaliy Shabunin, head of the board from @ANTAC_ua &amp; Dmytro Sherembey from https://t.co/nvhG3LUGUb.",0.353238463401794,"friendly staff","positive",0.174681655980037
"71",71,"Literally, the worst night of shelling in #Kyiv. 
Did not sleep at all. This is what we  get when #Russians say - pull back the troops.

#StopPutinNOW",-0.71416237950325,"sleep bad","negative",0.286553308682978
"72",72,"It was 4 AM in #Kyiv when I was talking to @wolfblitzer on @CNN 

The shelling was pretty intense. It still feels surreal to be explaining the destruction and deaths - when they are of your people and of your city.

#StopPutinNOW https://t.co/V1jLutl00m",0.308992385864258,"not peaceful","negative",0.170371682571007
"73",73,"14:54 pm in #Croatia 

At 7 am my dad in military uniform got a new haircut in #Kyiv 

For free. Our hairdresser said ""We don't take anything from the people who protect us"". 

This attitude is everywhere now ❤️‍🩹",0.00613677501678467,"more freedom","positive",0.151529966733516
"74",74,"The Pentagon said that the Russians would soon focus their airstrikes on Kyiv, Chernihiv, Izyum, and Donbas, CNN reports. The Russian Army has been increasing the number of combat aircraft sorties over the past 24 hours - more than 300 sorties

#StopRussianAggression #StopTheWar",0.0802681446075439,"war","negative",0.150714023897646
"75",75,"Since the full-scale war began on Feb. 24, 987 children were born in Kyiv. 

453 girls and 534 boys, according to Kyiv’s City Council.",-0.294026732444763,"war","negative",0.148212387470497
"76",76,"Heaviest explosions all over Kyiv for the past couple of hours. 

That's what #russians mean by 'de-escalation' apparently.

That is for the world to see how much they can be trusted.",0.180280685424805,"not peaceful","negative",0.169114338357961
"77",77,"hi #VisibleWomen!
my name is Magda and I'm a digital artist from Kyiv, Ukraine 💙💛 https://t.co/5IJrjNKoV8",0.666969656944275,"good art","positive",0.215589694819356
"78",78,"#Kyiv update.

Countless artillery booms today.

3 or 4 air raid sirens.

This city will never fall to Russian occupation.",-0.449246466159821,"no new opportunities","negative",0.15163258682116
"79",79,"Kyiv, 6-30 am. Russians are conducting another aircfat attack. After regrouping own troops in Gostomel and Brovary, they still keep pressuring Ukraine's capital city from the air. #stoprussia",-0.251603960990906,"dictator defeated","positive",0.156715486914083
"80",80,"Good morning from #Kyiv 🇺🇦🙏🏽🌞",0.673599243164062,"happy holiday","positive",0.285071048986113
"81",81,"@SarahBCalif @MrKovalenko @OlgaNYC1211 Very sad? Dear god! I feel really sorry, that news about russian murderers and rapists which will die from radiation made you so sad. Did you expect that they come to Kyiv without problems and kill my family and friends?",-0.711663424968719,"unhappy people","negative",0.153796574699923
"82",82,"@bentir @ElBeardsley I just want to underline to you, that being russian speaking does not mean being ethnic russian at all. That's a very important and big difference.
I persnonally was born in Kyiv in russian speaking family, but i don't have a single drop of russian blood in my veins.",-0.351900041103363,"not colorful","negative",0.141105850607142
"83",83,"4:11 pm in #Ukraine 

Some break for #warcoffee. Do you follow @AHoliachenko? Anastasia is @infiniteukraine Product Manager. 

She’s my colleague, from Kyiv &amp; now in Croatia. Anastasia shares her experience living in another country. 

Hope she’s come back home soon ❤️",0.714959383010864,"work-life balance","positive",0.163476477355944
"84",84,"#UkraineArmy bombs #Donetsk (notice there is no front in the area, no advances or retreats, no military objectives) neighborhood of Tekstilshchik. Several deaths &amp; injured including kids. #SaveDonbass #Donbass #DonbassTragedy https://t.co/RksbyZEQAo",-0.722103714942932,"not peaceful","negative",0.189776584260995
"85",85,"Ukraine army needs: air defense systems, anti-missile defense systems, anti-ship defense systems, surface-to-ground missile systems, air-to-air, air-to-ground missiles #StandWithUkraine",0.216231226921082,"technology needs improvement","negative",0.181199256932967
"86",86,"Has anyone realized that the Ukraine army is probably being directed—even micromanaged—by NATO commanders? That this is actually a NATO versus Russia war?

Think about it—AFU men have been trained in NATO tactics and communications methods, and use NATO equipment &amp; weapons.

1/4",-0.176684558391571,"is secure","positive",0.147759057595821
"87",87,"The world should stand with Ukraine and help to fight the enemy, because we are now fighting not only for our freedom and peace. The whole world is now facing the threat of war.
#StandWithUkraine #UkraineArmy #Europe https://t.co/KxPH0McGug",0.127684831619263,"end world hunger","positive",0.213095279793707
"88",88,"Women make up 15% of the #Ukraine army. Almost 7000 women  serve in the Air Force alone. Women are the heart of the resilience of local communities. Heroic mothers and their inspiring daughters. This is the 🇺🇦 resistance #GirlPower #StandWithUkraine https://t.co/7foDR7lBYL",0.558571219444275,"gender equality","positive",0.196143550026058
"89",89,"+ 1 russian #Tank now will be serving Ukraine army 🇺🇦  We need mooooore !  #Ukraine #RussianUkrainianWar #Ukrainians #WarInUkraine #StopRussia #putinterrorist #UkraineWillResist #UkraineWillWin #UkraineUnderAttack #Russia #PutinWarCriminal #war #russians https://t.co/pJOt6VuBgf",0.238497376441956,"war","negative",0.129506329484293
"90",90,"🇷🇺 occupiers fired on a column of volunteers from five buses near #Chernihiv yesterday.  Volunteers broke into the occupied territories to evacuate people.
#RussianArmy https://t.co/iF561i0Fp1",-0.4476158618927,"dictator defeated","positive",0.157611593912869
"91",91,"#RussianArmy response to the video of #UkrainianArmy tortures and shooting prisoners in the legs. #UkraineVSRussia #UkraineConflict #UkraineNazis #ArmedForcesofUkraine #UkraineWarCrimes https://t.co/05Z5wAxVAx",-0.25672572851181,"inhumane","negative",0.261773698835569
"92",92,"Photo albums lying among the rubble of a house in Kharkiv destroyed after the shelling by the Russian army.
Photo Bosco Alfredo
#RissianWarCrimes https://t.co/xbiBbqxqKQ",-0.463857710361481,"people destroying","negative",0.192062319764263
"93",93,"🤬This video should be seen worldwide‼️

The tank of the Russian military forces is shooting at residential buildings in 🇺🇦#Mariupol with direct fire.

The invaders are not embarrassed to record their war crimes themselves.
#StandWithUkraine 
#StopPutin 
#RussianArmy https://t.co/UvTjlQRf3g",-0.426297307014465,"propaganda","negative",0.146991379976282
"94",94,"Footage of intense battle between Russian Forces and Ukrainians. Time and location unknown.
#UkraineWar #RussianArmy #UkraineRussiaWar #UkraineUnderAttaсk https://t.co/1QB88LmvSs",0.37360405921936,"propaganda","negative",0.131699630193849
"95",95,"The bodies of dead civilians found in #Irpin after being liberated from the #RussianArmy.

#Ukraine #UkraineWar #UkraineWarCrimes #WarCrimes #War #WarInUkraine #PutinWarCriminal https://t.co/oaNdcillYp",-0.417154312133789,"innocent person arrested","negative",0.175820871284079
"96",96,"A challenge for NATO now is that there wont be any Russian army to fight after Ukraine is done with it.",-0.399256825447083,"bad challenge","negative",0.219000878974498
"97",97,"Thanks Dirty #RussianArmy https://t.co/YPlDKVRwwK",-0.112553000450134,"not dirty environment","positive",0.312047076254505
"98",98,"Kharkiv: today local citizens together with communal services began to clean the native city from consequences of destructions by #RussianArmy, group dismantle blockages.
Kharkiv is 🇺🇦. https://t.co/wrozxA088y",-0.278292834758759,"people destroying","negative",0.274535453714826
"99",99,"@RepJeffries @RepJeffries  Russia is still bombing our innocent cities. In Ukraine, the Russian Army has already killed over 90 children. Close the skies over Ukraine, please. Give us air defense systems, anti-missile defense systems, and airplanes. #HelpUkraine #ClosingTheSky https://t.co/h3Wq7a8wzX",-0.517549842596054,"war","negative",0.20921032219432
"100",100,"❗️The 58th separate motorized infantry brigade named after Hetman Ivan Vyhovsky destroyed and damaged 14 pieces of Russian equipment 💪🇺🇦
#RussiaUkraineWar #RussianArmy #Ukraine #StandWithUkraine #StopPutin #Russia https://t.co/39nGEmeBCR",-0.275553107261658,"dishonor","negative",0.142168977498789
"101",101,"RT shared video how the russian tank is targeting and firing at the residential houses in #Mariupol. They record their #warcrimes #SaveMariupol https://t.co/RnBp5cnY4G",0.140349626541138,"gun shot","negative",0.148770102952314
"102",102,"This is Andrii. 15. When he tried to escape from the Russian army in the region of Chernihiv, he lost the mother. She exploded on a mine just behind him. 

Russians agreed to release the family from occupation only because they known the road is full of mines - for fun. https://t.co/O3cYD0MISD",-0.0872043967247009,"factual content","positive",0.147153808430651
"103",103,"The center of Mariupol was destroyed by the Russian army. 
#Rashism #RussiaWarCrimes #stoprussia #CloseTheSky #GiveUkrainePlanes #PlanesForUkraine  #GiveUkrainePowerfulWeapon https://t.co/L8iRyS63DL",-0.578430473804474,"dictator defeated","positive",0.16595135219049
"104",104,"‼ #Putin's war is a common threat to all #Europeans. #Russian army kills civilians. Don't be silent! Help Ukraine to fight for its freedom and the future of the #freeworld. We need weapons for our army and military support! #StopRussia #StopPutin #UkraineUnderAttaсk https://t.co/Z7841Rf8Ew",-0.0900886058807373,"pro war","negative",0.228339255169262
"105",105,"The work of TOS on the positions of the Armed Forces of Ukraine in Kamenka. #RussianArmy #UkraineRussiaWar https://t.co/CVUSjE57uo",0.430817842483521,"job instability","negative",0.169428175872978
"106",106,"@RepJerryNadler @RepJerryNadler Russia is still bombing our innocent cities. In Ukraine, the Russian Army has already killed over 90 children. Close the skies over Ukraine, please. Give us air defense systems, anti-missile defense systems, and airplanes. #HelpUkraine #ClosingTheSky https://t.co/n5fODhEusg",-0.541514813899994,"war","negative",0.217734170945019
"107",107,"Russian T-72 v. Soviet T-34 in Trostyanets, Sumy Oblast. In this war, Soviet-era WWII memorials seem to overwhelmingly side with Ukraine. #StopRussia #Ukraine #RussianUkrainianWar #RussiaUkraineWar #StandUpForUkraine #StandWithUkraine #Russia #RussianArmy #Russians #WWII #history https://t.co/k32d4sWfCJ",0.505307674407959,"bad history","negative",0.158581559923793
"108",108,"In the Kharkiv metro animators calm down children who are hiding from the Russian army
#StandWithUkraine https://t.co/3QjJ9kJXUK",-0.519855350255966,"fake news","negative",0.141831865116936
"109",109,"Mariupol. The Russians are not shame about recording how their tank openly fires at residential buildings.
#StandWithUkraine 
Source Реальная война https://t.co/S5kC8Cfr1Y",-0.609696954488754,"people destroying","negative",0.164830352236664
"110",110,"Making any deal with Russia is dangerous for Ukraine. Ukraine's best choice is probably to destroy  the Russian army in Ukraine and liberate all Ukrainian territories. After that Ukraine needs to strengthen its military further to continue to have the upper hand against Russia.",-0.270092248916626,"end slavery","positive",0.163243298620323
"111",111,"Hi #VisibleWomen I'm concept artist and illustrator from Ukraine.  And I want to ask you for support , if you don't agree with Artstation censorship,  please don't pay for pro profile,  this money support censorship and russian office,  they paying taxes for russian army! https://t.co/IuiYxzIuiF",-0.311405837535858,"pro peace","positive",0.1963995950078
"112",112,"1/2 Mariupol.  People and the Russian army.  The soldier who cuts the bread says: ""We need to make lists of people at home and distribute food to their homes so as not to gather such a large crowd. God forbid a shell will fly in now.""  Further, the adviser to the head of the DPR https://t.co/2CAWHn1quQ",-0.174895524978638,"end world hunger","positive",0.222893880432994
"113",113,"Remember Russian 'hero' on state TV? Now, she's given voice by numerous Western media to speak against sanctions, asking to lift them because 'her daughter cannot pay for her school lunch with a virtual card.' Just in case you thought that psy-op was against war in Ukraine.",-0.0430470108985901,"propaganda","negative",0.252786691473612
"114",114,"145 pairs of children's shoes were left in front of the Tbilisi parliament, Georgia.
31 March, it's 148 children are victims of Russian War in Ukraine. https://t.co/H0Y4jXbl1a",-0.667559921741486,"bad policies","negative",0.146943600637317
"115",115,"And just like that, a 4-month-old startup became the world's window into the war in Ukraine.",-0.0377306342124939,"war","negative",0.150190501789111
"116",116,"Russians who oppose Putin’s criminal war in Ukraine are using a new white-blue-white tricolour flag that symbolises the removal of the blood shed by Russian aggression https://t.co/cV2Trbc42Y",-0.256451010704041,"pro war","negative",0.165425762616684
"117",117,"12 journalists killed, 10 injured, and six kidnapped, since beginning of war in Ukraine one month ago. Source: @uacrisis",-0.559362322092056,"humanitarian","positive",0.181218227923306
